n,sigma3_n,e4_coeff_n
424,87093630,20902471200
425,77400414,18576099360
426,90193824,21646517760
427,78081808,18739633920
428,89428212,21462770880
429,81976608,19674385920
430,90162072,21638897280
431,80062992,19215118080
432,95679640,22963113600
433,81182738,19483857120
434,92236032,22136647680
435,86047920,20651500800
436,94537190,22688925600
437,83472480,20033395200
438,98032536,23527808640
439,84604520,20305084800
440,98181720,23563612800
441,89320701,21436968240
442,97208748,23330099520
443,86938308,20865193920
444,103536776,24848826240
445,88826220,21318292800
446,99806112,23953466880
447,92622600,22229424000
448,103059992,24734398080
449,90518850,21724524000
450,107311563,25754775120
451,91804104,22032984960
452,105331554,25279572960
453,96402656,23136637440
454,105273756,25265701440
455,95270112,22864826880
456,112366800,26968032000
457,95443994,22906558560
458,108080910,25939418400
459,100442160,24106118400
460,111921264,26861103360
461,97972182,23513323680
462,115468416,27712419840
463,99252848,23820683520
464,114169590,27400701600
465,105106176,25225482240
466,113844042,27322570080
467,101847564,24443415360
468,121463678,29151282720
469,103462816,24831075840
470,117736416,28256739840
471,108357032,26005687680
472,120147300,28835352000
473,105904656,25417117440
474,124246080,29819059200
475,108051860,25932446400
476,123400368,29616088320
477,112700646,27048155040
478,122867280,29488147200
479,109902240,26376537600
480,132120072,31708817280
481,111337492,26720998080
482,125977698,30234647520
483,117202176,28128522240
484,129421189,31061085360
485,114996924,27599261760
486,134107092,32185702080
487,115501304,27720312960
488,132784470,31868272800
489,121260944,29102626560
490,133804062,32112974880
491,118370772,28408985280
492,140876568,33810376320
493,119852460,28764590400
494,135704520,32569084800
495,127048824,30491717760
496,139456352,33469524480
497,123121728,29549214720
498,144090576,34581738240
499,124251500,29820360000
500,143727948,34494707520
501,130408992,31298158080
502,142319268,34156624320
503,127263528,30543246720
504,152338680,36561283200
505,129818052,31156332480
506,145869984,35008796160
507,135212196,32450927040
508,149532032,35887687680
509,131872230,31649335200
510,156029328,37447038720
511,133822192,32117326080
512,153391689,36814005360
513,140218400,33652416000
514,152771346,36665123040
515,137683728,33044094720
516,162514352,39003444480
517,138293568,33190456320
518,156824784,37637948160
519,144976104,34794264960
520,162014580,38883499200
521,141420762,33940982880
522,166169070,39880576800
523,143055668,34333360320
524,164110716,39386571840
525,151713632,36411271680
526,163723032,39293527680
527,146397888,35135493120
528,174582576,41899818240
529,148048057,35531533680
530,168827652,40518636480
531,155472660,37313438400
532,172268320,41344396800
533,151490556,36357733440
534,177652440,42636585600
535,154355544,37045330560
536,175946940,42227265600
537,160589520,38541484800
538,175185990,42044637600
539,157166676,37720002240
540,188007120,45121708800
541,158340422,38001701280
542,179122608,42989425920
543,166032776,39847866240
544,184024386,44165852640
545,163173780,39161707200
546,190540224,45729653760
547,163667324,39280157760
548,187708842,45050122080
549,171825374,41238089760
